ques,diff
0,2
1,4
2,5
3,6
4,7
5,6
6,8
7,8
8,8
9,5
10,5
11,5
12,10
13,10
14,6
15,6
16,5
17,5
18,5
19,5
20,6
21,6
22,5
23,5
24,7
25,5
26,5
27,5
28,7
29,8
30,7
31,8
32,7
33,7
34,9
35,5
36,9
37,6
38,5
39,8
40,6
41,6
42,10
43,8
44,8
45,8
46,7
47,9
48,7
49,7
50,7
51,5
52,6
53,5
54,5
55,4
56,5
57,6
58,8
59,7
60,3
61,7
62,7
63,8
64,9
65,5
66,6
67,7
68,7
69,4
70,9
71,9
72,6
73,6
74,7
75,6
76,9
77,7
78,9
79,6
80,8
81,8
82,7
83,4
84,7
85,7
86,7
87,7
88,8
89,3
90,7
91,6
92,5
93,5
94,4
95,7
96,7
97,6
98,5
99,7
100,9
101,9
102,9
103,9
104,9
105,8
106,7
107,5
108,8
109,6
110,5
111,8
112,9
113,6
114,9
115,5
116,8
117,7
118,7
119,7
120,1
121,3
122,8
123,5
124,5
125,5
126,10
127,5
128,5
129,6
130,4
131,5
132,7
133,8
134,8
135,2
136,7
137,6
138,5
139,7
140,6
141,7
142,5
143,3
144,6
145,2
146,4
147,7
148,6
149,8
150,5
151,4
152,9
153,5
154,4
155,4
156,5
157,8
158,8
159,5
160,9
161,8
162,6
163,5
164,7
165,6
166,8
167,7
168,6
169,6
170,7
171,7
172,7
173,7
174,8
175,8
176,6
177,5
178,5
179,8
180,8
181,10
182,6
183,5
184,10
185,8
186,6
187,10
188,8
189,7
190,9
191,8
192,8
193,6
194,6
195,5
196,8
197,4
198,9
199,5
200,8
201,7
202,7
203,6
204,5
205,3
206,10
207,8
208,10
209,7
210,7
211,9
212,8
213,5
214,8
215,4
216,7
217,8
218,5
219,8
220,7
221,10
222,7
223,6
224,6
225,7
226,0
227,7
228,8
229,7
230,7
231,9
232,5
233,5
234,7
235,7
236,10
237,4
238,7
239,8
240,7
241,6
242,5
243,5
244,5
245,7
246,7
247,5
248,5
249,8
250,10
251,5
252,8
253,8
254,7
255,8
256,9
257,8
258,10
259,5
260,6
261,8
262,7
263,8
264,9
265,8
266,9
267,7
268,10
269,6
270,8
271,9
272,8
273,9
274,9
275,9
276,9
277,9
278,8
279,9
280,8
281,7
282,5
283,5
284,5
285,5
286,5
287,7
288,5
289,6
290,5
291,5
292,5
293,5
294,5
295,10
296,8
297,8
298,10
299,7
300,4
301,3
302,2
303,5
304,8
305,10
306,2
307,8
308,8
309,7
310,10
311,4
312,9
313,10
314,8
315,5
316,5
317,6
318,5
319,10
320,5
321,3
322,5
323,7
324,5
325,5
326,4
327,8
328,6
329,6
330,5
331,8
332,4
333,4
334,4
335,5
336,5
337,8
338,5
339,6
340,7
341,4
342,6
343,5
344,7
345,6
346,8
347,8
348,6
349,8
350,6
351,8
352,8
353,1
354,9
355,9
356,10
357,6
358,10
359,6
360,6
361,8
362,5
363,10
364,3
365,8
366,5
367,3
368,8
369,4
370,3
371,8
372,8
373,9
374,8
375,8
376,8
377,4
378,6
379,3
380,7
381,7
382,8
383,6
384,5
385,5
386,0
387,7
388,2
389,8
390,7
391,8
392,6
393,8
394,8
395,5
396,8
397,5
398,4
399,8
400,10
401,10
402,9
403,4
404,8
405,6
406,8
407,3
408,10
409,10
410,10
411,7
412,10
413,6
414,5
415,10
416,5
417,5
418,10
419,5
420,3
421,10
422,10
423,10
424,8
425,7
426,10
427,8
428,6
429,6
430,5
431,10
432,2
433,5
434,8
435,6
436,5
437,8
438,10
439,6
440,7
441,5
442,7
443,10
444,10
445,9
446,9
447,8
448,9
449,5
450,8
451,6
452,5
453,10
454,6
455,9
456,6
457,5
458,0
459,5
460,5
461,4
462,5
463,10
464,8
465,5
466,6
467,9
468,7
469,4
470,6
471,8
472,5
473,8
474,10
475,10
476,5
477,2
478,7
479,0
480,8
481,5
482,10
483,6
484,6
485,5
486,10
487,3
488,10
489,9
490,6
491,7
492,10
493,9
494,7
495,9
496,7
497,9
498,6
499,7
500,8
501,5
502,5
503,4
504,5
505,8
506,5
507,7
508,8
509,5
510,10
511,3
512,7
513,8
514,4
515,6
516,10
517,10
518,10
519,5
520,10
521,6
522,6
523,8
524,8
525,8
526,9
527,7
528,10
529,6
530,7
531,2
532,6
533,6
534,5
535,6
536,6
537,7
538,6
539,8
540,7
541,6
542,7
543,8
544,8
545,4
546,7
547,6
548,6
549,6
550,9
551,9
552,10
553,9
554,4
555,3
556,9
557,10
558,9
559,6
560,7
561,8
562,7
563,5
564,6
565,5
566,7
567,6
568,5
569,9
570,10
571,8
572,8
573,5
574,7
575,8
576,10
577,9
578,7
579,8
580,8
581,6
582,8
583,7
584,8
585,6
586,5
587,6
588,9
589,4
590,8
591,8
592,7
593,5
594,9
595,6
596,10
597,10
598,10
599,8
600,10
601,10
602,6
603,9
604,8
605,10
606,7
607,9
608,8
609,8
610,5
611,8
612,9
613,7
614,8
615,8
616,7
617,9
618,6
619,6
620,8
621,5
622,4
623,6
624,10
625,10
626,7
627,8
628,7
629,6
630,7
631,10
632,8
633,7
634,7
635,10
636,6
637,7
638,5
639,8
640,6
641,9
642,10
643,8
644,7
645,4
646,10
647,10
648,8
649,6
650,8
651,10
652,9
653,6
654,6
655,10
656,10
657,8
658,7
659,10
660,8
661,7
662,5
663,6
664,4
665,7
666,5
667,5
668,9
669,8
670,8
671,6
672,3
673,7
674,10
675,8
676,5
677,10
678,7
679,6
680,8
681,6
682,6
683,6
684,6
685,8
686,8
687,5
688,9
689,6
690,6
691,6
692,5
693,6
694,5
695,9
696,10
697,6
698,10
699,6
700,8
701,10
702,8
703,6
704,9
705,8
706,8
707,5
708,4
709,10
710,9
711,10
712,7
713,7
714,8
715,6
716,5
717,8
718,10
719,6
720,7
721,7
722,7
723,9
724,6
725,7
726,6
727,6
728,5
729,9
730,6
731,10
732,8
733,5
734,8
735,7
736,6
737,7
738,5
739,2
740,5
741,8
742,10
743,5
744,7
745,5
746,7
747,5
748,1
749,10
750,5
751,9
752,8
753,8
754,5
755,8
756,10
757,10
758,4
759,8
760,9
761,10
762,10
763,8
764,9
765,6
766,10
767,4
768,10
769,8
770,9
771,8
772,6
773,8
774,10
775,7
776,4
777,8
778,8
779,7
780,7
781,6
782,7
783,7
784,7
785,7
786,8
787,8
788,4
789,9
790,6
791,6
792,3
793,6
794,5
795,8
796,1
797,8
798,6
799,6
800,5
801,6
802,8
803,7
804,8
805,8
806,5
807,10
808,7
809,6
810,6
811,7
812,5
813,9
814,7
815,7
816,4
817,8
818,7
819,6
820,4
821,7
822,8
823,5
824,2
825,4
826,6
827,6
828,9
829,8
830,6
831,8
832,3
833,5
834,5
835,5
836,6
837,5
838,6
839,6
840,5
841,6
842,6
843,9
844,8
845,8
846,7
847,7
848,7
849,9
850,9
851,8
852,6
853,9
854,10
855,4
856,5
857,8
858,7
859,10
860,10
861,8
862,6
863,10
864,9
865,8
866,8
867,5
868,10
869,10
870,8
871,9
872,10
873,7
874,8
875,5
876,6
877,7
878,10
879,8
880,3
881,5
882,8
883,6
884,8
885,9
886,5
887,6
888,10
889,10
890,10
891,6
892,9
893,8
894,5
895,4
896,6
897,7
898,10
899,8
900,10
901,6
902,8
903,10
904,5
905,10
906,8
907,5
908,6
909,10
910,10
911,5
912,10
913,9
914,5
915,7
916,5
917,8
918,6
919,10
920,6
921,10
922,3
923,10
924,5
925,10
926,4
927,8
928,5
929,7
930,7
931,8
932,7
933,8
934,10
935,8
936,5
937,8
938,4
939,7
940,8
941,5
942,8
943,10
944,9
945,9
946,6
947,8
948,6
949,10
950,7
951,10
952,5
953,10
954,5
955,5
956,5
957,3
958,9
959,0
960,10
