ques,disc
0,0
1,0
2,0
3,0
4,1
5,0
6,2
7,2
8,2
9,0
10,0
11,0
12,3
13,3
14,0
15,0
16,3
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,3
25,0
26,0
27,0
28,2
29,2
30,1
31,2
32,3
33,3
34,3
35,0
36,3
37,0
38,0
39,2
40,0
41,0
42,3
43,2
44,2
45,1
46,2
47,0
48,1
49,1
50,3
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,1
63,2
64,3
65,2
66,0
67,1
68,2
69,3
70,3
71,3
72,3
73,1
74,1
75,3
76,3
77,1
78,3
79,0
80,2
81,2
82,1
83,3
84,1
85,1
86,2
87,1
88,3
89,3
90,1
91,0
92,0
93,3
94,2
95,1
96,2
97,0
98,0
99,1
100,3
101,2
102,0
103,3
104,3
105,2
106,2
107,0
108,2
109,0
110,0
111,2
112,3
113,0
114,3
115,2
116,2
117,1
118,1
119,2
120,0
121,0
122,2
123,0
124,3
125,0
126,3
127,0
128,0
129,3
130,3
131,0
132,1
133,3
134,2
135,0
136,3
137,1
138,0
139,1
140,0
141,1
142,0
143,0
144,3
145,0
146,0
147,2
148,0
149,2
150,0
151,0
152,3
153,0
154,0
155,0
156,0
157,2
158,2
159,0
160,3
161,2
162,0
163,1
164,0
165,1
166,2
167,1
168,0
169,0
170,1
171,3
172,1
173,1
174,3
175,2
176,0
177,0
178,0
179,3
180,2
181,3
182,0
183,0
184,3
185,2
186,0
187,3
188,2
189,0
190,1
191,2
192,3
193,3
194,0
195,3
196,0
197,3
198,3
199,0
200,2
201,3
202,1
203,0
204,1
205,0
206,0
207,2
208,0
209,0
210,1
211,1
212,0
213,1
214,2
215,0
216,2
217,0
218,0
219,2
220,1
221,3
222,1
223,0
224,3
225,1
226,0
227,0
228,2
229,1
230,1
231,3
232,0
233,0
234,1
235,3
236,3
237,0
238,1
239,0
240,1
241,0
242,0
243,0
244,0
245,1
246,1
247,0
248,1
249,2
250,3
251,2
252,2
253,2
254,1
255,0
256,3
257,2
258,3
259,3
260,0
261,2
262,1
263,2
264,3
265,2
266,3
267,0
268,3
269,0
270,0
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,2
279,3
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,3
295,0
296,2
297,3
298,3
299,1
300,0
301,0
302,1
303,0
304,3
305,3
306,0
307,2
308,2
309,1
310,3
311,2
312,3
313,3
314,3
315,0
316,0
317,0
318,0
319,3
320,0
321,3
322,0
323,0
324,0
325,0
326,0
327,3
328,0
329,3
330,3
331,2
332,0
333,0
334,3
335,1
336,0
337,2
338,0
339,0
340,1
341,0
342,0
343,2
344,1
345,0
346,2
347,2
348,0
349,2
350,1
351,2
352,2
353,0
354,3
355,3
356,3
357,0
358,3
359,0
360,0
361,2
362,0
363,3
364,0
365,2
366,0
367,0
368,2
369,0
370,0
371,2
372,0
373,3
374,2
375,2
376,2
377,0
378,0
379,0
380,3
381,1
382,2
383,0
384,0
385,0
386,0
387,1
388,0
389,2
390,0
391,2
392,0
393,2
394,3
395,3
396,3
397,2
398,0
399,2
400,0
401,3
402,3
403,0
404,2
405,0
406,2
407,0
408,3
409,3
410,3
411,1
412,3
413,0
414,0
415,3
416,0
417,1
418,3
419,0
420,0
421,3
422,3
423,3
424,2
425,1
426,3
427,3
428,0
429,0
430,0
431,3
432,0
433,0
434,2
435,0
436,0
437,2
438,3
439,0
440,1
441,0
442,2
443,3
444,3
445,3
446,3
447,2
448,3
449,0
450,2
451,0
452,0
453,3
454,2
455,0
456,3
457,0
458,0
459,0
460,0
461,0
462,0
463,3
464,3
465,0
466,0
467,3
468,0
469,0
470,0
471,2
472,0
473,2
474,3
475,3
476,0
477,0
478,1
479,0
480,0
481,0
482,3
483,0
484,0
485,0
486,3
487,0
488,3
489,2
490,0
491,1
492,3
493,3
494,2
495,3
496,1
497,3
498,0
499,1
500,2
501,0
502,0
503,0
504,0
505,2
506,0
507,2
508,2
509,0
510,3
511,0
512,1
513,1
514,0
515,1
516,3
517,3
518,0
519,0
520,0
521,0
522,0
523,3
524,2
525,2
526,3
527,3
528,3
529,0
530,1
531,0
