ques,skill
15481,67
13420,7
5641,39
7071,30
14237,0
2385,40
632,96
4424,75
10544,0
9355,98
11127,55
3147,97
10664,65
6080,86
1999,4
4676,67
10185,67
11842,37
4472,8
12543,84
10523,62
5757,106
7047,23
583,96
10803,116
2878,57
13957,67
25,34
14468,54
13015,79
2533,59
7968,110
11196,47
7101,30
5249,50
2536,64
4423,8
6462,43
11011,1
5708,106
3091,57
6506,86
6110,86
2829,57
9197,47
8035,56
10215,67
3847,40
12443,38
11574,114
4502,8
9218,106
3662,31
3648,96
10888,15
2908,57
3431,98
11022,15
10007,37
11108,55
122,7
13045,79
13537,16
8468,59
7131,30
11957,0
10446,84
7251,95
3727,96
4494,9
3264,106
12103,54
6230,43
5738,106
13938,67
9227,47
10925,55
4576,78
9562,37
13258,79
9622,88
3213,60
7688,69
11439,10
11499,61
7330,95
10659,84
2517,64
6309,43
276,43
7623,88
8724,106
14951,120
18,7
4830,79
9178,47
2070,18
13847,70
8718,62
7281,95
12033,116
6260,43
6697,44
10131,86
10552,79
12665,100
3317,9
7396,18
73,64
9118,117
14918,64
3507,106
7373,34
5138,87
6440,95
14981,120
15141,109
6156,107
6734,47
8410,67
9208,47
2840,57
3657,50
6549,1
14333,84
11480,61
7311,95
4231,56
3136,55
15409,45
8645,55
7489,101
11878,70
40,8
12621,114
3273,60
9756,0
6968,106
10994,23
6706,106
9020,117
7683,88
14166,28
12091,70
575,59
12366,9
5561,18
12834,114
15277,10
10670,84
6919,106
9610,67
11919,0
14899,64
4778,23
5119,87
8930,79
9916,110
12400,7
7634,88
8828,68
3680,10
2565,94
8707,7
9786,0
4323,116
12958,42
13937,97
8904,26
10547,98
12715,55
9606,69
13876,87
1901,50
3673,7
4793,38
1584,114
12093,8
15307,10
3631,10
1960,105
155,8
9737,0
10857,31
2918,74
14668,23
7252,107
13157,107
14929,64
6949,106
10760,98
6572,119
8002,110
5149,87
12692,7
2215,102
11676,70
556,59
3087,31
10690,39
15258,10
3582,10
15404,64
10593,106
10753,95
10357,95
15398,15
4746,47
10577,98
9228,15
9897,110
1187,10
13286,113
2486,43
4258,0
3862,0
9767,0
12298,9
14318,31
10906,44
6095,86
13335,5
7168,5
10212,121
11461,37
4394,9
12594,7
13860,92
1138,10
9063,32
11102,104
15288,10
14751,34
1941,105
11597,83
13474,56
7233,107
3991,6
4332,70
12673,7
13110,8
4211,9
10553,47
13886,0
6604,84
7383,51
1497,64
13536,116
12966,0
14859,18
12333,87
4535,106
8695,23
2754,100
13029,56
7277,69
12189,79
3345,16
6719,7
12624,7
14544,91
15100,80
2569,54
1710,64
1314,64
3642,10
13561,65
13721,54
14065,93
5438,58
7356,69
4021,6
4403,71
7149,5
11268,113
5817,91
14991,29
206,43
7649,62
6152,44
8392,106
13378,65
1265,64
5472,56
14049,4
10981,56
2082,57
6375,89
11724,100
2739,98
1820,57
7569,69
9905,68
12219,79
4850,9
10648,112
14574,91
7122,23
2378,55
8209,106
1478,64
2557,57
13646,1
14510,106
4449,79
9394,37
10495,55
4829,71
4433,71
7179,5
4185,6
10916,48
11298,113
5847,91
4405,9
6485,82
13042,8
9456,97
13945,4
2329,55
8179,119
2508,57
14822,48
8614,47
10226,15
4224,82
4384,71
11249,113
14604,91
13838,63
187,43
9025,32
5319,56
6353,47
12721,37
14030,4
14773,48
4217,79
2242,59
10860,8
11240,0
1677,21
106,54
1066,96
8944,43
10716,0
13493,1
6432,47
3801,100
12612,23
14329,7
2653,7
11134,18
14852,48
4430,79
3852,102
3456,102
7322,30
7267,94
14433,101
4414,71
11279,113
15145,41
10957,62
5929,106
277,57
318,95
3009,56
2706,55
8301,58
4643,79
11735,100
2387,9
8132,20
3407,102
11795,114
7218,94
3245,40
12230,42
13440,30
7653,22
6605,96
270,54
12383,55
10349,98
572,96
13838,76
8731,56
15044,110
14185,120
12239,47
4460,79
8211,20
7090,30
10001,31
3155,2
1047,96
11663,116
3521,96
3039,56
4610,23
6413,47
13369,47
14833,48
10022,90
5471,59
8525,72
7303,30
10421,95
11563,114
2611,23
13616,84
3106,2
9501,95
4823,23
6306,106
2856,56
8601,67
12715,97
14391,117
14162,28
404,111
15428,113
3912,102
4765,18
7120,30
7535,43
13421,30
10031,31
13171,84
6385,106
2923,2
10867,37
13960,15
10369,26
8555,72
8192,20
4620,44
4520,106
2641,23
4198,55
12787,94
2002,36
6174,7
12079,7
1919,38
8402,15
2978,59
6010,84
8969,62
8506,72
7150,30
7532,95
9103,62
7229,94
10498,32
10517,45
13093,56
12375,5
7000,5
1998,38
979,59
8582,67
4353,50
14487,67
14526,91
1116,64
8196,31
7960,20
7483,95
2249,34
3295,116
3166,2
6743,56
2252,39
10633,112
4929,102
12505,7
6472,7
14483,69
14763,86
2865,10
7595,43
8173,20
13918,31
3904,116
7696,95
7030,5
4036,6
10271,110
12143,5
1009,59
1532,100
1262,10
1900,38
3598,9
4880,102
6652,59
8474,96
12863,65
2761,74
7513,95
1701,57
7807,47
12752,5
4959,102
14589,91
960,59
6951,62
9279,8
11199,92
13527,1
13976,93
7902,55
5505,46
835,64
1518,57
4209,55
7060,5
8617,37
13906,34
12469,67
14453,30
1039,59
5172,102
1696,100
736,21
777,59
4910,102
12527,8
7384,65
3129,96
2733,96
13927,93
14744,86
4725,56
1469,57
7011,5
13043,9
14619,91
990,59
12244,70
14402,93
687,21
8455,96
1127,64
4280,56
3702,79
13473,7
185,39
4478,71
7788,47
12499,67
7934,101
10625,62
13256,9
2438,40
13159,113
6932,62
8959,43
146,84
13508,1
5569,44
2897,96
7883,55
1078,64
11835,23
10238,67
11358,98
3653,79
7041,5
136,39
5645,39
9401,95
5810,106
14010,104
636,96
4428,75
13325,1
13867,55
2191,55
11492,34
2774,110
12612,65
12846,3
4310,56
13679,4
14684,48
7818,47
1871,50
4507,75
12547,84
10527,62
11009,65
7913,55
29,34
11072,121
12362,38
11388,98
3367,102
13716,7
7434,57
8353,61
4717,70
8628,37
166,39
9431,95
2540,64
4458,75
4095,23
5974,106
8429,56
12383,97
13489,1
14678,95
7864,55
9347,101
11152,6
10219,67
7184,30
9961,31
14672,51
4506,8
6650,96
10953,62
617,96
13991,67
2912,57
7943,55
10298,67
3135,102
7001,30
5490,114
7135,30
10911,1
4488,75
7702,77
2669,43
12707,86
10929,55
4102,39
2646,59
552,51
7558,69
8570,72
7214,30
8334,61
13119,30
11608,114
7334,95
3146,116
10482,9
6198,56
5821,106
8512,67
2359,2
4835,75
5036,65
3935,47
6619,86
14417,67
22,7
12422,38
13079,79
9328,101
302,61
12936,30
14011,59
7165,30
3634,55
9625,95
12297,43
12558,84
14308,16
14368,67
8664,57
598,59
7588,69
13727,7
7400,18
11638,114
7364,95
8699,51
2813,64
7116,30
13704,23
9416,106
15407,109
677,96
4469,75
8877,57
13010,100
52,7
3192,60
186,7
2889,59
3326,60
12531,102
10987,9
7021,106
5216,9
7833,21
12563,54
9173,55
11809,117
293,69
2502,64
6836,97
8493,67
1024,59
628,59
9668,34
12942,87
3102,59
5512,7
11503,10
3541,106
8808,78
6612,59
15175,109
11496,7
11630,7
3094,60
12313,0
7447,106
7607,95
11454,10
12359,116
12593,54
13754,86
58,64
11935,54
9934,45
9920,110
498,70
658,59
1054,59
1577,100
15286,61
6783,62
3684,10
253,10
3849,114
9790,0
11015,84
10,23
4344,56
10772,97
5068,87
12429,67
7296,95
15436,5
11991,70
5004,102
15205,109
4286,51
609,59
4346,102
11963,8
3064,9
15383,115
130,61
6491,75
3619,2
12215,0
4295,56
6576,119
8789,78
6373,56
7828,40
4352,38
9820,0
3471,23
12294,0
2335,21
7428,106
13314,56
3570,2
1380,57
10320,57
12574,54
5889,91
7821,37
9901,110
10297,110
6962,47
639,59
7504,101
336,21
6764,62
11067,28
14859,7
4871,44
5864,34
9771,0
220,75
10676,106
15341,10
7479,44
1111,54
4325,56
12410,67
15445,67
6606,119
15202,80
1666,47
6141,19
852,59
1886,50
6275,19
2569,43
549,21
6261,84
9850,0
11311,95
11972,70
12106,70
14480,95
15292,10
13867,97
4560,44
13082,56
7237,107
11544,37
4276,56
12457,4
4436,8
15019,80
3973,18
9931,110
12677,7
8654,95
2520,43
10445,65
2580,94
9801,0
123,34
5995,86
8048,56
3056,23
11141,34
3075,36
13235,5
11757,37
11220,98
12321,79
6636,119
10898,47
6985,7
4387,8
5870,91
1916,50
7661,61
460,70
5672,106
15322,10
3646,10
5845,34
10179,67
7763,45
7360,69
4466,8
5949,91
10453,47
9438,69
10849,47
12707,7
15123,29
10255,62
7839,40
3350,96
8658,106
1631,2
2054,105
7417,51
5428,96
6025,86
3482,23
9831,0
7962,110
7573,69
10928,47
331,40
13063,56
4417,8
4854,9
10148,121
14045,116
12066,95
6340,97
10352,116
2019,3
2561,57
8029,56
9586,88
13216,5
7464,18
4833,71
2343,100
10879,47
10920,48
6966,7
5851,91
106,43
4409,9
10840,55
1299,64
5592,96
10437,79
10160,67
12254,38
13429,5
7603,69
13346,7
13387,8
15030,80
10789,9
7418,23
1232,10
2371,54
12128,47
9616,88
2907,34
2852,98
2112,59
7554,69
312,40
4164,70
10606,9
4398,8
4439,9
6478,44
9210,43
270,43
10129,84
12047,95
9516,86
1288,26
6711,23
4636,65
2542,57
14163,121
15393,24
7674,70
4694,6
13634,6
4418,71
7706,22
3422,106
6732,82
11999,54
8201,1
9411,95
427,111
9646,88
5606,7
6748,26
4136,92
3833,91
4686,7
14650,101
6670,106
3313,55
7647,88
5286,2
7137,23
15048,110
9597,88
9060,112
10395,31
4448,71
5083,87
7780,65
14222,4
14664,120
457,111
2785,57
6417,47
11744,70
12322,47
14094,4
14837,48
13822,70
13340,30
15159,99
11425,61
828,54
6700,106
10084,31
6149,3
9289,56
10684,26
5436,67
12912,34
14013,15
5293,18
13911,4
14090,6
11096,7
14893,64
6913,106
15027,64
13671,22
6128,65
4772,23
5113,87
6288,54
6329,55
13354,86
7628,88
6000,1
6938,55
4582,47
158,57
4566,39
11987,70
5242,93
3872,116
3302,0
2724,23
5200,96
10112,106
10327,31
6681,106
14923,64
4936,23
9506,67
12338,4
8351,15
371,57
1768,100
12382,47
5321,93
13812,38
13999,93
1905,105
3777,0
14874,64
7747,22
3170,2
10121,47
12509,7
12292,9
11755,70
2814,74
13127,56
15064,80
2293,79
12064,7
9392,59
9874,62
9956,101
56,22
171,9
8096,31
1150,64
3853,116
12680,10
13621,84
10470,56
7361,107
7113,5
11970,79
528,17
4963,102
1983,38
7377,51
9572,111
11785,70
8094,106
6074,84
3758,0
5260,96
10568,106
14494,85
1858,43
13097,5
14332,23
15452,54
7064,5
1828,100
3077,16
4070,6
11921,79
5176,102
4290,9
12356,7
6189,7
12490,7
1934,38
13189,8
13261,113
8307,106
8126,31
2751,31
14193,93
2782,98
5473,96
12957,116
7446,43
7143,5
1735,57
4586,7
8249,101
9658,6
12134,79
2712,39
10274,9
4993,102
13212,113
6104,84
6360,10
14189,95
2064,3
8077,31
11109,56
10377,107
13187,56
14147,98
7094,5
8811,26
14568,91
4482,71
