ques,template
6455,27
12718,489
6298,309
756,132
13915,215
6859,376
4209,187
3290,146
11091,398
4575,244
14277,567
11600,275
13694,246
11393,174
2582,59
5548,225
5634,265
7829,59
14128,215
7617,405
12292,502
4931,293
13587,534
4031,265
4347,242
6768,379
7286,76
12038,97
4861,234
6122,204
4713,70
15105,611
626,143
1834,21
3114,41
8286,419
12661,490
5629,42
11874,110
3457,151
12958,484
13443,233
1337,154
7025,385
11106,238
1120,156
4664,70
8279,416
12157,435
1018,145
2938,229
4961,293
10618,420
3056,221
4061,265
9737,442
5640,56
6275,338
5571,222
14494,578
6242,161
14797,579
1154,154
7453,310
2434,174
9855,434
13974,542
3017,229
656,143
6217,333
895,159
8861,219
1029,159
13959,419
12548,441
15373,631
4248,276
4287,204
4777,68
10775,259
1408,155
8144,83
1862,133
2514,59
9658,270
2209,177
11228,241
464,94
8812,219
483,107
12064,513
13848,295
8996,299
1093,36
5408,56
6313,162
1318,154
1927,198
14568,584
4604,261
12226,511
4007,42
12355,396
8533,245
2380,180
13808,78
14577,589
11342,464
12973,445
2095,196
6355,280
12274,215
13614,478
2984,65
876,159
513,107
11299,13
1010,159
8713,68
9291,45
1230,162
10509,382
8871,425
8745,57
1866,80
11233,184
8648,353
3629,217
14061,416
5728,303
9042,243
1306,157
2104,137
15321,161
7778,204
14607,589
7131,393
6207,8
8759,305
14375,431
5724,305
5839,255
5314,141
13318,493
2683,194
15384,631
3596,161
52,18
2655,132
8901,425
3634,187
10599,433
12954,445
459,113
9203,238
11149,82
5519,21
6603,358
13408,386
13017,501
12876,525
11363,11
13237,504
14737,2
14794,536
10532,379
15119,67
1072,47
573,134
9007,299
13451,204
4337,280
13167,445
14249,184
9650,405
746,62
5795,306
5929,306
3004,141
6526,296
5626,268
10464,100
11429,486
6873,111
505,121
4168,215
11496,18
9407,354
8829,377
9173,187
7796,271
7359,233
6247,63
9439,77
903,130
6505,358
1742,148
6398,3
8569,423
3464,247
644,135
1282,163
1796,155
3365,241
6331,178
9060,431
6658,307
13430,387
2175,151
2717,205
8997,82
9131,82
11013,399
70,21
6095,315
6618,356
1948,108
933,130
4114,221
2779,36
5649,265
10685,45
14215,549
4320,60
5354,88
7632,405
8585,259
10887,445
1768,177
14027,269
4660,165
6188,250
11699,94
11850,492
11831,250
530,127
10105,409
3818,78
11767,494
12230,484
15008,599
13644,467
3721,182
15011,604
13946,280
4887,292
1150,20
6604,313
2268,207
11843,489
15062,606
6521,315
10621,181
12921,523
14091,109
3117,152
1620,171
7465,120
15078,550
921,133
9536,373
6719,7
14439,563
879,136
7147,188
590,33
13281,11
1608,53
6076,315
8349,288
12917,525
2760,36
4301,60
4917,292
13360,11
6749,300
10519,291
11377,285
9052,381
7321,233
6569,369
750,143
8138,226
1985,124
13611,532
8908,373
7843,49
1828,177
6792,377
5088,295
10630,243
523,100
6703,305
944,130
15087,612
2052,70
1730,19
11000,456
3808,19
11592,102
13617,468
5315,230
6784,378
7302,75
571,33
1168,23
3174,147
194,46
7651,0
11963,503
6737,37
7439,309
8017,57
15306,161
15028,153
3512,142
14534,584
1767,59
1913,113
11703,283
416,95
4898,292
8379,409
7730,0
5118,295
8024,181
9204,263
9250,379
3637,258
9253,384
9456,218
469,106
1930,201
818,31
3903,148
6250,336
5446,282
5386,2
5028,294
802,23
5069,295
7050,389
8330,409
9653,274
12884,445
15336,161
2799,61
11978,114
10761,416
1917,124
8364,407
15205,617
12844,494
15444,108
7283,75
10590,305
12400,517
9382,161
11589,275
8179,361
12224,520
12761,496
10782,246
9285,228
7640,83
12089,103
1915,199
3035,230
397,95
1772,150
13322,11
2133,129
5099,295
7038,392
9741,444
7275,76
13373,205
15150,277
9280,234
5596,54
2227,141
6272,337
12989,215
3641,161
10391,216
8231,120
9659,267
9623,344
2780,61
3657,105
14586,585
13794,356
4245,275
3142,184
258,57
13064,510
6565,37
12816,445
10515,373
6924,384
3380,241
1501,158
3421,242
10386,259
10950,301
12540,281
12980,516
8484,421
13054,502
14582,587
1197,161
3814,173
8475,372
9636,404
8657,120
10715,434
13005,51
10935,437
2523,31
11304,11
7376,400
14616,585
390,68
13091,505
1102,45
7012,389
5307,193
14574,588
13366,215
11688,122
6010,313
7056,395
3410,241
5691,304
2458,23
8294,418
12422,117
765,130
11255,11
13387,503
8340,305
1387,150
12123,464
9895,227
3890,60
5607,81
4344,230
11462,489
8229,208
13334,384
4388,273
1974,95
7406,400
13292,387
5802,256
14604,588
13255,505
2675,142
1178,161
11825,248
3110,70
4767,40
8492,29
11541,489
3497,250
11811,84
3261,239
4295,230
13079,508
4837,284
4441,284
13175,216
4473,273
5371,191
2291,152
8571,29
6988,8
3920,60
3295,237
3328,185
7216,397
9832,184
3140,70
3904,237
5984,310
3145,185
6667,303
4325,230
8807,427
4471,284
882,139
13201,511
10119,399
1523,172
10358,415
10903,215
1655,62
13869,152
5859,251
4276,230
1659,181
12705,14
14231,504
9138,382
11218,455
12412,435
5459,51
11116,215
4949,215
2492,155
4531,227
2693,145
4457,12
4913,292
3524,73
6597,365
8837,427
14338,566
13713,514
6655,306
7307,232
2293,211
2714,204
9180,271
5167,293
6865,301
13109,521
4628,244
10827,462
11551,493
10665,400
4815,107
12057,99
4352,117
7638,224
1545,173
7629,404
12722,489
7992,227
11908,501
3730,33
1025,137
6044,44
13583,525
11814,85
12220,507
12259,435
14890,153
3343,38
6199,332
9843,184
6138,322
12759,492
2647,42
15193,605
6270,212
5222,57
3840,26
1328,67
9258,433
3141,25
10865,57
12472,435
12783,68
1052,132
13495,533
5014,293
3544,149
7207,14
9774,434
12484,445
8246,120
10863,132
12423,435
8149,416
11972,499
12161,435
15191,616
11889,501
15003,565
3656,97
4965,293
4065,265
2219,130
400,98
3982,267
11673,122
9859,434
14637,215
11813,102
15142,616
154,42
8499,421
5178,293
15352,160
2399,182
15269,162
4639,244
5057,3
5203,57
3692,141
7059,385
12453,435
14538,586
13189,503
5212,291
3099,41
11979,515
4995,293
15368,555
7832,79
13797,359
490,112
13048,500
6265,2
7013,390
8658,306
800,45
13936,410
14662,285
3146,237
7438,310
339,64
3002,229
5960,305
7006,387
7524,84
7780,10
7184,393
10921,473
9030,299
15291,163
4042,267
5599,299
186,7
11237,184
8160,416
5777,305
2998,231
8559,421
12034,464
4076,265
2111,142
13852,537
6349,238
8432,57
5512,7
7859,195
12556,280
2826,124
13346,436
5990,305
3588,181
13290,504
3789,171
9611,402
2627,180
8009,139
12684,465
3210,235
8518,245
10342,392
11448,488
3645,163
13399,447
14827,594
1396,52
1757,31
3069,232
6082,15
619,131
3322,183
15272,163
8926,420
533,64
2787,24
2995,202
7976,83
8095,34
3048,65
5799,306
13160,286
4013,222
8581,422
9090,299
2065,39
3622,71
11437,487
7345,216
6054,303
4516,284
11615,493
6670,306
451,116
12674,514
5709,305
9353,120
8472,371
14537,589
3701,71
3191,235
9041,299
2129,145
14849,595
7373,399
7593,402
2703,151
7519,224
320,77
13778,456
5746,308
8578,245
11508,488
10696,344
9400,353
8863,377
11862,491
11884,250
2765,19
9009,431
2751,84
9143,431
9303,420
13301,504
3062,205
7544,402
11737,496
13738,276
2277,164
14390,431
3502,248
3887,59
9080,82
6440,352
5058,55
11899,494
4519,272
13781,94
1539,171
6236,27
9758,182
12972,184
6370,27
13648,467
1590,173
3770,184
9334,120
674,137
2272,207
10491,181
3163,149
7574,402
2577,25
9547,120
10108,416
6572,363
10600,353
11987,499
14029,280
14767,246
7284,74
15145,606
5644,273
625,137
14226,565
6777,243
10203,424
6606,361
15221,601
1936,113
9061,82
9140,375
659,135
8873,31
6132,212
2288,43
576,137
10053,76
8050,223
3528,139
5460,48
7499,120
9739,182
4634,6
11797,496
10267,301
15057,614
4554,242
14330,514
1527,66
5830,32
5236,47
7550,287
6636,361
12147,205
3859,131
15447,247
9965,84
8776,219
12188,502
6833,380
10234,245
1202,131
8205,403
2924,230
1747,190
6826,377
3653,147
7734,0
2156,129
4556,180
5664,120
8031,223
5240,287
5796,276
10722,184
548,51
1809,21
14617,584
353,41
14978,563
9995,84
8806,219
974,159
4535,242
1087,36
5032,294
10877,243
12016,516
11914,505
11224,58
145,48
12390,205
1760,21
8207,304
10683,377
409,94
15075,617
15209,617
744,47
7480,204
5606,7
2056,19
6698,205
10886,184
11293,13
9405,376
4641,264
10458,380
13543,534
2063,180
5103,295
2211,78
612,49
3623,217
8787,219
11349,295
10597,431
11244,13
1216,163
3979,266
489,100
6936,383
1406,31
5673,303
8111,84
11196,238
2861,52
9690,400
12654,493
1410,150
12150,465
2819,55
5133,295
7117,394
9734,443
13531,537
9197,238
11029,475
2359,70
14081,186
484,106
6045,296
938,47
3326,236
4405,266
5258,182
9644,405
10323,434
9891,282
12604,2
54,0
8655,305
6743,45
12,3
1836,150
11423,486
1674,88
7102,392
7790,271
14314,249
1329,53
1315,155
1736,148
8909,306
7095,389
5101,90
1391,150
10353,434
1394,155
11511,491
2736,33
2345,148
11408,484
9944,414
8722,372
12495,109
10929,257
10103,407
1359,53
3265,239
11020,375
9638,344
11548,494
5684,303
4490,57
10546,455
3488,247
4522,275
15143,602
1220,160
8460,308
4379,226
9613,287
