skill,cluster
106,20
64,14
7,26
17,3
28,3
88,54
2,48
100,19
118,3
75,8
49,62
58,49
18,10
67,6
80,3
87,73
15,32
56,12
22,74
54,24
70,75
111,76
105,47
1,44
66,0
95,45
24,3
35,3
90,3
62,60
71,8
110,54
25,38
86,17
114,33
41,3
52,3
43,9
26,57
51,22
33,72
45,46
79,23
113,25
109,3
120,3
91,61
14,3
94,2
77,25
21,36
16,3
50,35
0,34
39,16
30,56
83,68
99,3
6,58
116,28
72,3
48,3
74,31
20,78
69,7
32,70
84,53
117,50
47,40
61,39
73,59
53,1
89,3
27,3
81,38
98,63
96,29
82,73
119,3
13,25
97,73
40,30
38,42
121,3
108,3
42,67
107,77
46,3
68,3
101,79
57,21
29,69
92,52
5,56
78,71
60,65
19,3
65,55
85,3
9,11
93,25
102,37
103,66
3,43
4,42
44,41
23,18
36,3
8,51
59,5
34,15
76,66
104,3
115,3
63,66
12,66
37,13
55,27
10,4
11,3
112,64
31,54
