stu,cluster
2152,61
824,1
2058,54
2286,61
521,0
1158,26
1292,26
3291,111
2008,53
1195,93
2206,37
1118,75
1137,88
1224,93
3277,63
2774,0
438,87
3088,47
1383,0
1935,104
1277,104
2591,0
880,59
1596,0
1334,0
938,0
1253,12
1849,37
35,83
3001,20
3313,106
543,1
2542,0
1312,97
689,55
1568,23
2333,6
1151,0
755,0
2071,6
2271,31
889,0
1600,12
2528,65
2343,56
743,62
1590,47
1986,47
72,6
1192,37
532,107
2090,104
1720,13
1102,0
670,77
2482,70
1099,74
1542,6
2180,34
1803,47
2363,6
3316,9
1167,65
549,52
3221,0
1556,26
2012,77
1830,0
306,65
393,70
823,32
2217,37
899,21
2785,0
328,89
972,11
1132,0
1750,13
2293,32
2594,23
3038,0
3172,0
1129,74
1284,97
2701,6
1915,0
3056,54
1361,88
597,70
2602,0
1173,37
3251,0
1586,26
2989,0
491,88
1994,0
603,0
758,23
2381,0
1426,73
1901,37
2766,107
1148,65
2415,29
2207,0
40,8
1314,97
2098,93
1549,0
49,93
2068,70
1337,0
941,0
1368,104
1852,37
3206,6
2556,10
795,62
701,55
1762,0
371,0
1571,23
2065,37
239,109
3091,24
1976,108
466,8
2934,77
308,65
2904,54
1367,0
2810,47
1882,37
862,93
2780,104
1792,0
535,0
963,32
2070,93
69,84
1318,0
2951,107
3071,23
3050,0
660,116
1437,73
2130,0
2526,0
1470,70
892,93
1135,0
1784,0
1949,104
527,0
87,110
2142,10
2739,0
1610,0
1529,12
1348,0
3254,0
489,10
1086,0
1326,61
1704,13
269,86
819,1
2949,74
3205,0
1056,93
3102,24
2753,19
222,10
1948,0
356,10
1978,108
2366,104
1521,12
2936,77
2104,104
1855,37
982,0
2444,23
88,52
1530,97
2161,0
704,55
1765,0
1683,47
2676,37
3267,96
682,116
811,1
843,70
1239,70
112,0
1817,47
2371,75
1525,18
552,6
1181,65
2866,17
3235,0
2240,0
2394,58
3106,35
2783,19
2937,77
749,62
386,10
1211,93
633,116
1358,26
2365,0
1885,37
3052,0
3186,0
440,66
2399,29
1038,21
404,0
712,116
168,52
841,1
2578,0
2025,53
2158,88
1836,37
2425,23
719,11
1612,0
536,75
663,116
1220,70
2791,0
1440,73
2938,19
1004,0
250,63
1263,31
271,6
867,31
1255,27
2214,104
2376,23
3216,0
2918,77
1403,11
3287,60
2870,0
1373,19
90,110
191,13
782,72
1613,0
1351,0
