stu,skill,crtRatio
2219,7,0.8181818181818182
65,26,0.8888888888888888
1964,43,1.0
135,111,1.0
3292,95,0.5238095238095238
154,56,0.8
148,70,0.8
1041,22,1.0
2275,104,0.0
3286,5,0.6
1389,10,1.0
2069,43,1.0
143,43,1.0
417,113,0.6666666666666666
2100,106,0.7692307692307693
891,95,0.0
3315,114,1.0
2256,56,0.07142857142857142
137,56,0.8
2842,3,0.8125
3255,8,0.52
2195,47,0.42105263157894735
3316,102,1.0
3287,53,0.0
3319,110,1.0
438,38,0.75
550,86,0.25
1684,6,0.75
3311,74,1.0
1495,102,1.0
430,2,0.375
1121,79,0.0
89,5,1.0
181,72,0.6
1788,18,0.5
462,59,1.0
231,2,0.5
231,43,1.0
1832,0,0.7857142857142857
1958,116,0.8
2359,10,0.0
3308,96,1.0
3302,110,1.0
454,23,1.0
1497,62,0.07692307692307693
223,7,1.0
337,105,1.0
438,68,0.0
2254,40,0.0
3290,4,1.0
3307,34,1.0
1688,106,0.0
2885,1,0.8888888888888888
256,10,0.7058823529411765
2028,82,0.5
1120,34,1.0
3282,102,1.0
430,61,0.7777777777777778
3304,79,0.8214285714285714
3281,40,1.0
27,7,0.8571428571428571
72,18,0.5
2606,65,1.0
1101,101,0.0
28,56,0.8181818181818182
3290,34,1.0
1035,44,0.3333333333333333
181,65,0.9090909090909091
3310,106,0.7317073170731707
3278,62,1.0
1238,98,1.0
428,59,1.0
197,2,0.0
149,21,0.6666666666666666
1096,73,0.0
3298,100,1.0
139,106,0.7837837837837838
2304,56,0.391304347826087
26,60,0.6
1444,61,0.0
3319,113,0.7
1467,61,0.3333333333333333
2022,97,0.2857142857142857
3261,21,0.5
1708,116,1.0
294,100,0.5
553,97,1.0
3296,56,0.8
75,56,0.8387096774193549
175,9,0.7142857142857143
785,95,1.0
1281,40,0.2
2153,61,0.5714285714285714
543,84,0.4
3293,15,0.3333333333333333
444,57,1.0
1214,9,0.5
2369,23,0.2857142857142857
288,23,0.5588235294117647
2120,54,0.0
147,65,0.9090909090909091
3277,6,1.0
96,98,1.0
2022,116,0.3333333333333333
3261,92,1.0
2710,9,1.0
2775,21,0.5
751,65,1.0
3260,30,1.0
949,97,0.0
24,57,0.8636363636363636
1674,116,1.0
556,6,0.8
2710,39,1.0
1430,12,1.0
437,38,0.8
3146,96,1.0
164,20,0.75
1257,7,0.8888888888888888
1962,0,0.7647058823529411
252,95,0.9090909090909091
2778,59,0.75
18,47,0.9090909090909091
2086,54,0.0
645,79,0.8333333333333334
26,106,0.5
449,96,0.9047619047619048
438,2,0.8
268,61,0.7777777777777778
746,73,1.0
3255,38,1.0
2660,54,0.0
2919,51,1.0
600,106,0.0
3129,96,1.0
281,9,1.0
995,56,0.6842105263157895
2090,50,0.0
2887,1,0.875
3307,86,0.6666666666666666
1435,100,1.0
269,37,1.0
445,78,0.6
171,40,1.0
2459,45,1.0
1149,0,0.7
2531,50,0.6
1394,79,0.0
147,78,0.5555555555555556
1254,83,0.08333333333333333
843,37,1.0
3277,9,0.7
3125,56,1.0
1965,72,0.75
54,98,1.0
1984,34,1.0
1515,34,1.0
3283,0,0.8571428571428571
53,36,1.0
2291,26,0.0
1373,9,0.0
160,27,1.0
2430,32,0.5
46,75,0.0
18,2,0.0
76,54,0.8888888888888888
282,79,0.5714285714285714
1984,64,1.0
21,9,0.0
2947,7,0.8181818181818182
171,100,1.0
164,22,0.8
2904,3,0.8
2848,3,0.9090909090909091
2991,114,1.0
1975,100,1.0
2424,117,1.0
3318,2,1.0
1306,7,0.8
3319,77,0.75
43,10,0.8
134,62,1.0
259,70,1.0
1720,9,0.6
2930,7,0.8181818181818182
